Rank,Country,Score,GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Generosity,Perceptions_Of_Corruption,Residual
1,Finland,7.632,1.305,1.592,0.874,0.681,0.192,0.393,2.988
2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.340,2.723
3,Denmark,7.555,1.351,1.590,0.868,0.683,0.284,0.408,2.779
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2.564
5,Switzerland,7.487,1.420,1.549,0.927,0.660,0.256,0.357,2.675
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2.743
7,Canada,7.328,1.330,1.532,0.896,0.653,0.321,0.291,2.596
8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2.545
9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2.601
10,Australia,7.272,1.340,1.573,0.910,0.647,0.361,0.302,2.441
11,Israel,7.190,1.244,1.433,0.888,0.464,0.262,0.082,2.899
12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2.544
13,Costa Rica,7.072,1.010,1.459,0.817,0.632,0.143,0.101,3.011
14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2.149
15,Germany,6.965,1.340,1.474,0.861,0.586,0.273,0.280,2.431
16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.240,2.455
17,Luxembourg,6.910,1.576,1.520,0.896,0.632,0.196,0.321,2.090
18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2.360
19,United Kingdom,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2.184
20,United Arab Emirates,6.774,2.096,0.776,0.670,0.284,0.186,n/a,n/a
21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2.528
22,Malta,6.627,1.270,1.525,0.884,0.645,0.376,0.142,1.927
23,France,6.489,1.293,1.466,0.908,0.520,0.098,0.176,2.204
24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2.889
25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2.578
26,Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2.214
27,Panama,6.430,1.112,1.438,0.759,0.597,0.125,0.063,2.399
28,Brazil,6.419,0.986,1.474,0.675,0.493,0.110,0.088,2.681
29,Argentina,6.388,1.073,1.468,0.744,0.570,0.062,0.054,2.471
30,Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2.942
31,Uruguay,6.379,1.093,1.459,0.771,0.625,0.130,0.155,2.301
32,Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,1.764
33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2.421
34,Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,1.463
35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2.567
36,Spain,6.310,1.251,1.538,0.965,0.449,0.142,0.074,1.965
